Tweet
Rlly worried the river next to the flat will flood
"This would absolutely terrify me, chills just from listening to the video"
@HelenStainton29 Yey! Hope you haven’t had to battle through flood water to get there.
"#Flood This is the Thomas tool co reaching out to y'all
to let you know about our new tool Called the… https://t.co/8l0xvci7VC"
losing followers like how liverpool is losing their flood protectshun resources 🔫
@Pagmenzies @lamphieryeg @RachelNotley Maybe Dam the bow and flood Calgary. It’s pretty much vacant now anyway. 🤣
The Flood Warning Continues for The James River At Richmond Westham until Monday Morningor until The Warning Is Can… https://t.co/waJkelcUlh
Looks like #hebdenbridge and #Mytholmroyd  have copped some terrible luck. After 2015 a lot of the flood protection… https://t.co/TJvdWbPvCJ
Was one of the greatest events ever. Only good thing the bushfire brings. How a cause can bring the world together!… https://t.co/XR5uTIzZAj
*Plays Pop Smoke shake the room*
@davidwebbshow @AOC @RepAOC @NYPDnews @NYPDShea @NYCPBA So what's your point? Trump never mentioned this last earth… https://t.co/y5xgoHunlD
Beavis the slob left a cow and then fell asleep before waking up to an earthquake
@Hazaallllll @EiFSoccer Lols no mate. Calm down. Dybala has been on fire this season. His creativity in front besid… https://t.co/u9f3IWpAgo
@IcyWinslow Never had it but I bet it’s fire
"@DrSNelson2 @davidwebbshow @AOC @RepAOC @NYPDnews @NYPDShea @NYCPBA @NYGovCuomo It was friendly fire, sooo..."
Can't
Brent faiyaz is so fucking fire I can’t wait for him to blow up
WHO THOUGHTBTHRBRBRNDBEND
"being an air sun, water moon and fire rising is a constant battle with yourself"
@DavidJHarrisJr @1Marsha9988 The fire department should hose their a**es right into the sewer where they all belong.
"@jimmy_dore @esaagar @krystalball You were on fire last night! It was a great event and, it ended too soon 😢"
The song sound fire idc about what he doing in the video
"One person is dead and four injured after a two-vehicle crash in Germantown on Sunday morning, with one smashing in… https://t.co/dr1Yf1TQm2"
"""Shit! Did you see that!""
#UTB @safc"
@ChrisJC12002 What's going to happen when there's a power cut and we are all electric? Had power cut today. Thankfu… https://t.co/wSK2aPEvbO
This is sensible.
"if Riot can get a beta out before Overwatch 2, Overwatch is dead. 100% no doubt in my mind. The devs clearly have n… https://t.co/AkBToSqUBi"
Enter to #Win in the Death and Betrayal by @SeeleyJamesAuth #VBT at @partnersincr1me !! https://t.co/Vk7JGgsKME
@KassyDillon I disagree. Buttigieg  is a disaster. Grossly unprepared . From mayor to President . Is this a bad joke or what ?
"Want to work at Baptist Emergency Hospital? We're hiring in #SanAntonio, TX! Click for details: https://t.co/Coq0dz7HmR #Nurse"
@_kimmyeatworld I feel bad blocking people too till u forget about them 🤭 but dead ass can’t afford any more distractions
@WolfiezGG Fr especially in comp epic some brain dead shi heads
So sad!!! We All knew it was never suicide anyway! 😥😥😡😡
Will I ever emerge from this self-imposed Shell? I doubt it. Not fully. That Woman was destroyed. For Fun.
First day of the semester and I already laughed in the face of my new teacher 💀 I’m dead dead
"@railfan514 Thanks for these details, Tod. This sounds like part of a known issue we're looking into on some Fire T… https://t.co/dqNahXQu7h"
Today is my Mom's death day. Her ghost is 21 years old today. She's out with her ghost girl friends (GGFs) getting… https://t.co/3wqrqHFzJj
"How can a golf course be saved from development, but a woodland be destroyed? Answer... Rich people play golf...… https://t.co/iRXzWOVSJX"
"@amitvarma MR.MODI,
85 YEARS OLD MUSLIM WOMAN WAS BURN BURNT TO DEATH BY RIOTERS IN CAPITAL OF INDIA.
THIS IS YOUR… https://t.co/Xl1H4O25x2"
"Contemplating suicide like it’s a DVD, lost inside my mind it’s a prison homie leave me be 🙅🏽‍♂️"
@goldenbubear28 IM DEAD😂 https://t.co/7AXByJ2Sc8
"10)
I carried my laptop with me in an attempt to write on my story after school but the battery was dead...
#CdnScreenAwards #KatBarrell"
@PrettyGegi Damn I’m here thinkin u were dead asss about starting today lol
Perfect response.  I deal with facts. The first thing before the military sends in the troops are strategic attacks… https://t.co/UTheHRsed8
"@Denton21990 @audreyfringe21 Let’s face it, trump is aiding and abetting the spread so he can declare a national em… https://t.co/UTOyuXInj0"
Also DSP it's been over a year since your parents were on deaths door. You owe your viewers two dead parents.
@_breneealexas Lmao I’m dead
As if you people didn't know the Indian reception of #dumbassprez wasn't staged. Give me a freak'n break! The… https://t.co/G6R6j0jKBT
No..  don’t jump the fence. That’s what fences are for.
@LouiseMensch @RichardGrenell @FBI Thank you. I just don’t understand how AS/CF/NB think this PR stunt could possib… https://t.co/u1IXyzZP65
this tweet took a DARK turn. 💀
@ashokepandit You should replace #AjitDoval 🤣🤣🤣 #HateMonger stop in fuelling the fire. Tu kabhi desh ka ho he sakta… https://t.co/0tNRGqUzId
@DEADLINE @tedstew Don’t get too excited. We all just MAGA peeps...checkin to see who lasts to get destroyed by trump.
Wow that’s so sad
"@aytmavibere74 Better alive and running than dead and with a ticket to hell.
https://t.co/NA2b5yZYCJ"
@BDUTT Burqa dutt dd u quell ur conscience as a human being?Don’t u c grief of hindus who died&amp;injured.wot dd mulla… https://t.co/TWTxXTPcRz
@realDonaldTrump this is how real leaders deal with the pandemic.
@melaniecraycray Can’t you track em ? (Assuming they aren’t dead/ I heard that you could but idk)
"October
Udaan
Lootera
Masaan
A Death in the Gunj
These r d movies to be felt not watched."
Fire Event - L007 - Annunciation Orthodox Sch Yoakum Blvd - Marshall St - 11:45 - https://t.co/nH0BE6ektG
"#coronavirus death rate by age groups. Full article.

Source: The Epidemiological Characteristics of an Outbreak of… https://t.co/bvb5Xkq9x3"
Pimpin ain’t dead - @benny_479
"Team bolso vs team frota

Free fire pela democracia"
In a dystopian city where even the new DA proclaims he won't prosecute various homeless related crimes? Good luck t… https://t.co/5g4I8lOIbN
"Friends, help me kill Garfield. #ZMAYZING"
"@KwekuBaah_ @BlvckThought Some of of no dey payroll top
So the bleeding we dey inside since since"
This is gonna be fire
"I'm 22. I'm months away from graduating college, starting grad school, and transitioning into a job I will hold for… https://t.co/k9wNA2TTlb"
I stay posting stuff on my story by accident 🙄
February has been nothing but death after death &amp; I am tired.
"Reminder that Trump also claimed he did a ""great job"" in his response to Hurricane Maria in Puerto Rico which kille… https://t.co/Beurp392Dl"
"@TrueZero_ @Zombie_Simon Bury Tomorrow I'd back to pull it off though. I haven't seen refused since they came back,… https://t.co/sEBRQF9fax"
"Weinstein will be dead as Epstein if he talks about what he knows, especially if it involves the Clintons."
@dom_sux fire
2019 saw a dramatic increase of violent incidents in #BurkinaFaso &amp; staggering rates of displacement. @WFP_WAfrica… https://t.co/b5gVCX0pz7
@tedcruz Trump causes and will cause death of many innocent people and he makes a lot of innocent people’s  lives… https://t.co/iPHwuYfjHq
@Newman_Grl It was an accident sis! Thanks for your forgiveness.
